Year,1.0 Fresh surface water abstracted mio m3/y,10.0 Mining and quarrying (ISIC 05-09)mio m3/y,11.0 Manufacturing (ISIC 10-33)mio m3/y,"12.0 Electricity, gas, steam and air conditioning supply  (ISIC 35)mio m3/y","13.0 of which for:
Electric power generation, transmission and distribution (ISIC 351)mio m3/y",14.0 Construction (ISIC 41-43)mio m3/y,15.0 Other economic activitiesmio m3/y,16.0 Desalinated watermio m3/y,17.0 Reused watermio m3/y,18.0 Imports of watermio m3/y,19.0 Exports of watermio m3/y,2.0 Fresh groundwater abstracted mio m3/y,20.0 Total freshwater available for use (=3+14+15+16-17)mio m3/y,21.0 Losses during transportmio m3/y,22.0 Total freshwater use (=18-19)mio m3/y,23.0     Households mio m3/y,"24.0     Agriculture, forestry and fishing (ISIC 01-03)mio m3/y","25.0         of which for: 
        Irrigation in agriculturemio m3/y",26.0     Mining and quarrying (ISIC 05-09)mio m3/y,27.0     Manufacturing (ISIC 10-33)mio m3/y,"28.0     Electricity, gas, steam and air conditioning supply  (ISIC 35)mio m3/y","29.0     of which for:
    Electric power generation, transmission and distribution (ISIC 351)mio m3/y",3.0 Freshwater abstracted (=1+2)mio m3/y,30.0 Construction (ISIC 41-43)mio m3/y,31.0     Other economic activitiesmio m3/y,4.0 Water returned without usemio m3/y,5.0 Net freshwater abstracted (=3-4)mio m3/y,6.0 Water supply industry (ISIC 36)mio m3/y,7.0 Households mio m3/y,"8.0 Agriculture, forestry and fishing (ISIC 01-03)mio m3/y","9.0 of which for: 
Irrigation in agriculturemio m3/y",1 Total wastewater generated1000 m3/d,10 Wastewater treated in urban wastewater treatment plants1000 m3/d,"11 Of which:
    Primary treatment1000 m3/d",12 Secondary treatment1000 m3/d,13 Tertiary treatment1000 m3/d,14 Wastewater treated in other treatment plants1000 m3/d,"15 Of which:
    Primary treatment1000 m3/d",16 Secondary treatment1000 m3/d,17 Tertiary treatment1000 m3/d,18 Wastewater treated in independent treatment facilities1000 m3/d,19 Non-treated wastewater1000 m3/d,"2 by:
       Agriculture, forestry and fishing ISIC (01-03)1000 m3/d",20 Sewage sludge production (dry matter)1000 t,3 Mining and quarrying (ISIC 05-09)1000 m3/d,4 Manufacturing (ISIC 10-33)1000 m3/d,"5    Electricity, gas, steam and air conditioning supply  (ISIC 35)1000 m3/d","6 of which by:
Electric power generation, transmission and distribution (ISIC 351)1000 m3/d",7 Construction (ISIC 41-43)1000 m3/d,8 Other economic activities1000 m3/d,9 Households1000 m3/d,index_x,1.0 Gross freshwater supplied by water supply industry (ISIC 36)mio m3/y,10.0 Construction (ISIC 41-43)mio m3/y,11.0 Other economic activitiesmio m3/y,12.0 Total population supplied by water supply industry (ISIC 36)%,13.0 Urban population supplied by water supply industry (ISIC 36)%,14.0 Rural population supplied by water supply industry (ISIC 36)%,2.0 Losses during transport by ISIC 36mio m3/y,3.0 Net freshwater supplied by water supply industry (ISIC 36)  (=1-2) (=4+5+6+7+8+10+11)mio m3/y,4.0 Householdsmio m3/y,"5.0 Agriculture, forestry and fishing (ISIC 01-03)mio m3/y",6.0 Mining and quarrying (ISIC 05-09)mio m3/y,7.0 Manufacturing (ISIC 10-33)mio m3/y,"8.0    Electricity, gas, steam and air conditioning supply  (ISIC 35)mio m3/y","9.0 of which to:
Electric power generation, transmission and distribution (ISIC 351)mio m3/y",index_y,1 Precipitation                              mio m3/y,2 Actual evapotranspirationmio m3/y,3 Internal flow (=1-2)mio m3/y,4 Inflow of surface and groundwaters from neighbouring countriesmio m3/y,5 Renewable freshwater resources (=3+4)mio m3/y,6 Outflow of surface and groundwaters to neighbouring countries (=7+8)mio m3/y,"7 Of which:
       Secured by treatiesmio m3/y",8     Not secured by treatiesmio m3/y,9 Outflow of surface and groundwaters to the seamio m3/y
1990,54733.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5071.200195,,,,,,,,,,,,,,,,,,,0,,,,,,,,,1972.0,,,,,,0,,,,54733.0,,,,,
1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13749.59961,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2264.0,,,,,,1,,,,55671.0,,,,,
2000,,,,,,,,,,,,,,,,2870.0,45900.0,44900.0,,1630.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5300.0,,,,,,1800.0,3500.0,2870.0,,,630.0,,,2,,,,,,,,,
2001,,,,,,,,,,,,,,,,,46050.0,45050.0,,1040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,3,,,,,,,,,
2002,,,,,,,,,,,,,,,,,47100.0,46500.0,,1070.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,4,,,,,,,,,
2003,,,,,,,,75.0,10200.0,,,,68189.0,,,3334.0,47380.0,46780.0,,1080.0,,,57914.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5874.0,,,,,,2550.0,3324.0,3240.0,,,,,,5,1300.0,2100.0,1300.0,58232.0,59532.0,200.0,,,0.0
2004,52880.0,,1080.0,,0.0,,,60.0,6200.0,0.0,0.0,5884.0,65014.0,,,3534.0,49500.0,,,1090.0,,,58764.0,,,,,6074.0,0.0,51600.0,,,,,,,,,,,,,,,,,,,,,,6,6074.0,,,,,,2550.0,3524.0,3240.0,,,,,,6,1300.0,,1300.0,44709.0,46009.0,,,,
2005,53100.0,,1100.0,,0.0,,,60.0,6600.0,0.0,0.0,5884.0,65634.0,,,3734.0,49900.0,,,1100.0,,,58984.0,,,,,6274.0,0.0,51600.0,,,,,,,,,,,,,,,,,,,,,,7,6274.0,,,,,,2550.0,3724.0,3240.0,,,,,,7,1300.0,,1300.0,53692.0,54992.0,,,,
2006,53600.0,,1100.0,,0.0,,,60.0,7000.0,0.0,0.0,5884.0,66534.0,,,5974.0,55100.0,,,2500.0,,,59484.0,,,,,6574.0,0.0,51800.0,,,,,,,,,,,,,,,,,,,,,,8,8504.0,,,,,,2550.0,5954.0,5954.0,,,,,,8,1300.0,,1300.0,68204.0,69504.0,,,,
2007,54030.0,,1200.0,,0.0,,,75.0,10200.0,0.0,0.0,6474.0,70305.0,,,4544.0,50800.0,,,2350.0,,,60504.0,,,,,8030.0,0.0,50800.0,,,,,,,,,,,,,,,,,,,,,,9,7675.0,,,,,,2455.0,5220.0,4070.0,,,1150.0,,,9,1300.0,,1300.0,83501.0,84801.0,,,,
2008,56150.0,,1649.0,,0.0,,,75.0,15200.0,0.0,0.0,7500.0,78924.0,,,5551.0,53000.0,,,2999.0,,,63649.0,,,,,9000.0,0.0,53000.0,,,,,,,,,,,,,,,,,,,,,,10,9000.0,,,,,,2100.0,6900.0,5550.0,,,1350.0,,,10,,,1300.0,75929.0,77229.0,,,,
2009,56650.0,,1649.0,,0.0,,,75.0,15200.0,0.0,0.0,7500.0,79424.0,,,6051.0,53000.0,,,2999.0,,,64149.0,,,,,9500.0,0.0,53000.0,,,,,,,,,,,,,,,,,,,,,,11,9020.0,,,98.0,,,2100.0,6920.0,5570.0,,,1350.0,,,11,,,1300.0,55130.0,56800.0,,,,
2010,55500.0,,,,,,,,,,,6500.0,,,,,60500.0,,,1350.0,,,62000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10483.0,,,,,,,,,,,,,,12,,,,42122.0,43422.0,,,,
2011,55500.0,,,,,,,,,,,7500.0,,,,,60900.0,,,1200.0,,,63000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,8505.0,,,,,,,,,,,,,,13,,,,63289.0,64589.0,,,,
2012,55500.0,,,,,,,,,,,7700.0,,,,,61500.0,,,1200.0,,,63200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,8919.0,,,,,,,,,,,,,,14,,,,50085.0,51385.0,,,,
2013,55500.0,,,,,,,,,,,6700.0,,,,,62100.0,,,1200.0,,,62200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,8788.0,,,,,,,,,,,,,,15,,,,,,,,,
2014,55500.0,,,,,,,,,,,6900.0,,,,,62350.0,,,1200.0,,,62400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,8867.0,,,,,,,,,,,,,,16,,,,,,,,,
2015,55500.0,,2800.0,,0.0,,,100.0,20500.0,0.0,0.0,6900.0,94900.0,2760.0,92140.0,,62350.0,,,2800.0,,,62400.0,,,,,9200.0,0.0,,,32600.0,10470.0,,,,,,,,,,24300.0,,,2500.0,,,,,,17,8889.0,,,98.0,100.0,95.0,2760.0,6129.0,,,,,,,17,1300.0,,1300.0,55500.0,56800.0,0.0,0.0,0.0,14.43000031
2016,,,,,,,,,,,,,92971.0,,,,62150.0,,,1200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,18,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,19,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,20,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14013.15,2178.36,10304.66,1530.14,,,,,,,,,,,,,,,,21,,,,,,,,,,,,,,,21,,,,,,,,,
